Year,Make,Model,Min_Retail_Price,Max_Retail_Price,MPG,Annual_Insurance_Cost,Year_12_Estimated_Annual_Maintenance,Last_Year_Produced
2018,Chevrolet,Cruze,7425,10350,34,2519,1204,2023
2016,Chevrolet,Spark,5250,6100,35,2519,1204,2022
2016,Chevrolet,Sonic,4425,6575,29,2519,1204,2020
2009,Dodge,Avenger,3800,4000,19,2518,1500,2014
2006,Ford,Focus,2775,3275,28,2533,1670,2025
2015,Ford,Focus,3025,9925,32,2533,1670,2025
2006,Honda,Accord,4150,5450,23,2206,998,0
2009,Honda,Accord,6175,6850,24,2206,998,0
2005,Honda,Civic,3350,5575,34,2362,979,0
2011,Honda,Civic,3175,7900,32,2362,979,0
2012,Honda,Fit,6675,7525,31,2191,989,2020
2014,Hyundai,Accent,5150,5950,31,2329,1125,2022
2004,Hyundai,Elantra,3100,3175,25,2423,1108,0
2009,Hyundai,Elantra,4175,4650,26,2423,1108,0
2014,Hyundai,Elantra,5875,6250,31,2423,1108,0
2004,Hyundai,Sonata,3050,3225,21,2533,1119,0
2008,Hyundai,Sonata,4025,4675,24,2533,1119,0
2011,Kia,Forte,4175,4975,30,2344,1090,2024
2016,Kia,Forte,6175,9425,29,2344,1090,2024
2003,Kia,Rio,2850,2875,26,2224,1090,2023
2005,Kia,Rio,2925,2975,25,2224,1090,2023
2011,Kia,Rio,3725,4625,32,2224,1090,2023
2011,Kia,Soul,4250,5250,26,2402,1090,0
2005,Mazda,3,3325,4325,29,1998,1378,0
2011,Mazda,3,4125,6175,27,1998,1378,0
2018,Mitsubishi,Mirage,5150,7100,40,2418,934,0
2004,Nissan,Altima,3275,3625,23,2655,1042,2025
2010,Nissan,Altima,4350,5325,26,2655,1042,2025
2009,Nissan,Sentra,3450,4500,32,2340,1024,0
2008,Nissan,Versa,3300,3775,32,2515,1017,0
2004,Subaru,Impreza,3100,10975,24,1986,1108,0
2010,Subaru,Impreza,4025,11925,23,1986,1108,0
2011,Subaru,Impreza,4900,12575,23,1986,1108,0
2004,Subaru,Legacy,3125,4175,25,2108,1124,0
2012,Subaru,Legacy,5725,8850,26,2108,1124,0
2003,Subaru,Outback,3250,4275,24,1929,1505,0
2010,Subaru,Outback,5425,6175,25,1929,1505,0
2006,Toyota,Camry,4725,5250,28,2003,777,0
2011,Toyota,Camry,6550,7575,26,2003,777,0
2008,Toyota,Corolla,5425,5825,32,2595,761,0
2013,Toyota,Corolla,7525,8225,29,2595,761,0
2003,Toyota,Prius,3350,3450,49,2412,737,0
2013,Toyota,Prius,8475,8925,48,2412,737,0
2013,Toyota,Yaris,5950,7200,32,2378,900,2020
2013,Volkswagen,Golf,6000,11575,26,2540,1023,0
2004,Volkswagen,Jetta,2825,4750,38,2523,1056,0
2007,Volkswagen,Jetta,3075,4325,25,2523,1056,0
