Brand,3-Yr_Resale_Value,5-Yr_Resale_Value,7-Yr_Resale_Value
Toyota,72.60%,63.60%,54.60%
RAM,73.90%,62.00%,48.70%
Honda,69.10%,60.70%,53.30%
Mazda,66.10%,60.40%,51.90%
Subaru,69.40%,58.90%,51.00%
FIAT,67.10%,57.10%,35.40%
GMC,64.50%,56.60%,46.30%
Mitsubishi,62.20%,55.40%,46.90%
Hyundai,62.40%,54.60%,45.10%
Kia,66.70%,54.00%,43.10%
MINI,63.20%,53.00%,46.20%
Ford,62.20%,51.30%,42.20%
Chevrolet,62.90%,50.90%,42.00%
Nissan,58.70%,50.80%,41.90%
Volkswagen,61.60%,50.00%,41.90%
Buick,56.20%,49.80%,37.50%
Jeep,53.70%,46.50%,39.60%
Chrysler,41.90%,38.60%,33.40%
Dodge,38.30%,35.30%,30.20%
Lexus,63.80%,54.10%,45.10%
BMW,61.40%,50.70%,41.60%
Audi,65.50%,54.40%,40.50%
Acura,57.90%,49.30%,40.30%
Bentley,65.10%,52.50%,38.80%
Mercedes-Benz,58.60%,48.60%,37.80%
Genesis,57.10%,47.50%,37.40%
Volvo,62.70%,49.70%,33.20%
Lincoln,55.80%,46.50%,32.90%
Cadillac,59.70%,48.90%,31.90%
INFINITI,55.90%,37.90%,30.90%
Jaguar,53.50%,41.40%,30.80%
Tesla,44.90%,39.80%,30.10%
Land Rover,50.10%,40.00%,29.60%
Alfa Romeo,36.80%,33.40%,28.10%
Maserati,32.10%,28.90%,22.30%
