Year,Make,Model,Min_Retail_Price,Max_Retail_Price,3-Yr_Resale_Value,5-Yr_Resale_Value,7-Yr_Resale_Value,Annual_Insurance_Cost,5-Yr_Maintenance_Cost,10-Yr_Maintenance_Cost,MPG,Seating
2024,Hyundai,Santa Fe,25100,39275,57.50%,49.10%,41.20%,2387,2791,8755,23,7
2022,Honda,Pilot,25975,35525,61.80%,51.00%,44.10%,2109,2566,7918,22,8
2023,Honda,Pilot,27050,41550,61.80%,51.00%,44.10%,2109,2566,7918,21,8
2024,Honda,Pilot,28775,44300,61.80%,51.00%,44.10%,2109,2566,7918,21,8
2022,Toyota,Highlander,28125,43675,67.60%,61.00%,50.30%,2358,2082,6292,23,8
2023,Toyota,Highlander,31050,47225,67.60%,61.00%,50.30%,2358,2082,6292,24,7
2024,Toyota,Highlander,34675,51400,67.60%,61.00%,50.30%,2358,2082,6292,24,7
2022,Kia,Sorento,21750,29675,68.10%,43.10%,33.40%,1970,2754,8646,24,7
2023,Kia,Sorento,23700,35750,68.10%,43.10%,33.40%,1970,2754,8646,24,7
2024,Kia,Sorento,26350,39175,68.10%,43.10%,33.40%,1970,2754,8646,23,7
2022,Kia,Telluride,26750,34200,69.30%,48.70%,41.00%,2648,2815,8768,21,8
2023,Kia,Telluride,28800,41325,69.30%,48.70%,41.00%,2648,2815,8768,21,8
2024,Kia,Telluride,32125,47225,69.30%,48.70%,41.00%,2648,2815,8768,20,8
2022,Hyundai,Palisade,23400,33900,65.10%,52.00%,46.30%,2995,2843,8859,21,8
2023,Hyundai,Palisade,27325,38500,65.10%,52.00%,46.30%,2995,2843,8859,21,8
2024,Hyundai,Palisade,29975,42850,65.10%,52.00%,46.30%,2995,2843,8859,21,8
